hashtag	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
tuckyorose	 1005846500583321601	628.19	.16	.0002547	1	6	1	3925
russian	 1005846500583321601	18.47	.16	.0086624	1	6	34	3925
moscow	 1005846500583321601	157.00	.16	.0010191	1	6	4	3925
istandwithukraine	 1005846500583321601	41.86	.16	.0038216	1	6	15	3925
slavaukraini	 1005846500583321601	62.80	.16	.0025477	1	6	10	3925
befierce	 1005846500583321601	628.19	.16	.0002547	1	6	1	3925
scottyfrommarketing	 1031000589054828544	78.50	.10	.0012738	1	10	5	3925
putlnplast	 1031000589054828544	78.50	.10	.0012738	1	10	5	3925
ausvotes22	 1031000589054828544	130.83	.10	.0007643	1	10	3	3925
australia	 1031000589054828544	39.25	.10	.0025477	1	10	10	3925
votethemout	 1031000589054828544	98.12	.10	.0010191	1	10	4	3925
lnpdisgrace	 1031000589054828544	39.25	.10	.0025477	1	10	10	3925
solomonislands	 1031000589054828544	392.61	.10	.0002547	1	10	1	3925
alboforpm	 1031000589054828544	8.35	.10	.0119745	1	10	47	3925
auspol	 1031000589054828544	2.13	.10	.0468789	1	10	184	3925
ausvotes	 1031000589054828544	23.78	.20	.0084076	2	10	33	3925
borisjohnsonout	 1073606435580325889	392.54	.20	.0005095	1	5	2	3925
toriesout	 1073606435580325889	78.50	.20	.0025477	1	5	10	3925
johnsonout	 1073606435580325889	15.85	.40	.0252229	2	5	99	3925
private	 1073606435580325889	785.23	.20	.0002547	1	5	1	3925
depop	 1073606435580325889	785.23	.20	.0002547	1	5	1	3925
votingrightsact	 1080844782	137.37	.14	.0010191	1	7	4	3925
votingrightsnow	 1080844782	549.66	.14	.0002547	1	7	1	3925
thursdaythoughts	 1080844782	549.66	.14	.0002547	1	7	1	3925
thursdaymotivation	 1080844782	549.66	.14	.0002547	1	7	1	3925
sinemaendsdemocracy	 1080844782	549.66	.14	.0002547	1	7	1	3925
