hashtag	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
ventilationmatters	 1001228776032763905	3104.21	.14	.0000451	2	14	4	88498
covidisairborne	 1001228776032763905	57.71	.21	.0036385	3	14	322	88498
longcovid	 1001228776032763905	6.84	.14	.0204411	2	14	1809	88498
longcovidkids	 1001228776032763905	56.31	.07	.0012429	1	14	110	88498
kovidkenney	 1001228776032763905	6250.00	.07	.0000112	1	14	1	88498
unsafeschoolsab	 1001228776032763905	6213.01	.21	.0000338	3	14	3	88498
unsafeschoolsab	 1001228776032763905	6213.01	.21	.0000338	3	14	3	88498
covidmisinformation	 1001228776032763905	6250.00	.07	.0000112	1	14	1	88498
covidisairborne	 1001228776032763905	57.71	.21	.0036385	3	14	322	88498
unsafeschoolsab	 1001228776032763905	6213.01	.21	.0000338	3	14	3	88498
covidisairborne	 1001228776032763905	57.71	.21	.0036385	3	14	322	88498
n95sforall	 1001228776032763905	886.07	.07	.0000790	1	14	7	88498
ventilationmatters	 1001228776032763905	3104.21	.14	.0000451	2	14	4	88498
firetheucp	 1001228776032763905	326.18	.07	.0002146	1	14	19	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
teamjustice	 1003107003693137921	817.43	.12	.0001468	13	103	13	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
teamjustice	 1003107003693137921	817.43	.12	.0001468	13	103	13	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
teamjustice	 1003107003693137921	817.43	.12	.0001468	13	103	13	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
inherentcontempt	 1003107003693137921	444.44	.01	.0000225	2	103	2	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
inherentcontempt	 1003107003693137921	444.44	.01	.0000225	2	103	2	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
investigatenow	 1003107003693137921	0	0	.0000112	1	103	1	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
wefighton	 1003107003693137921	444.44	.01	.0000225	2	103	2	88498
wefighton	 1003107003693137921	444.44	.01	.0000225	2	103	2	88498
justicematters	 1003107003693137921	742.29	.78	.0010508	81	103	93	88498
